#Pressure (bar)	Temp (K)
1.672000e+03	2600.0
1.617000e+03	2579.0
1.564000e+03	2557.0
1.512000e+03	2536.0
1.462000e+03	2515.0
1.414000e+03	2494.0
1.368000e+03	2474.0
1.323000e+03	2453.0
1.280000e+03	2433.0
1.237000e+03	2413.0
1.176000e+03	2382.0
1.118000e+03	2352.0
1.064000e+03	2323.0
1.011000e+03	2293.0
9.616000e+02	2264.0
9.148000e+02	2236.0
8.697000e+02	2207.0
8.272000e+02	2180.0
7.866000e+02	2152.0
7.480000e+02	2125.0
7.112000e+02	2098.0
6.763000e+02	2071.0
6.433000e+02	2044.0
6.117000e+02	2018.0
5.818000e+02	1992.0
5.533000e+02	1966.0
5.259000e+02	1940.0
5.001000e+02	1915.0
4.756000e+02	1890.0
4.523000e+02	1866.0
4.302000e+02	1843.0
4.092000e+02	1821.0
3.891000e+02	1799.0
3.701000e+02	1779.0
3.520000e+02	1761.0
3.346000e+02	1744.0
3.184000e+02	1729.0
3.028000e+02	1715.0
2.879000e+02	1701.0
2.738000e+02	1688.0
2.603000e+02	1675.0
2.478000e+02	1662.0
2.356000e+02	1649.0
2.240000e+02	1635.0
2.131000e+02	1622.0
2.026000e+02	1609.0
1.928000e+02	1598.0
1.833000e+02	1587.0
1.638000e+02	1570.0
1.481000e+02	1562.0
1.340000e+02	1558.0
1.213000e+02	1555.0
1.097000e+02	1550.0
9.927000e+01	1544.0
8.982000e+01	1538.0
8.125000e+01	1533.0
7.353000e+01	1530.0
6.652000e+01	1527.0
6.020000e+01	1525.0
5.446000e+01	1521.0
4.926000e+01	1518.0
4.460000e+01	1517.0
4.036000e+01	1518.0
3.651000e+01	1521.0
3.303000e+01	1525.0
2.991000e+01	1528.0
2.704000e+01	1527.0
2.448000e+01	1526.0
2.215000e+01	1527.0
2.004000e+01	1531.0
1.815000e+01	1540.0
1.642000e+01	1550.0
1.487000e+01	1560.0
1.346000e+01	1568.0
1.217000e+01	1573.0
1.102000e+01	1577.0
9.969000e+00	1578.0
9.020000e+00	1577.0
8.164000e+00	1576.0
7.385000e+00	1574.0
6.685000e+00	1574.0
6.047000e+00	1573.0
5.474000e+00	1573.0
4.951000e+00	1571.0
4.481000e+00	1569.0
4.055000e+00	1566.0
3.667000e+00	1562.0
3.316000e+00	1557.0
3.001000e+00	1552.0
2.716000e+00	1547.0
2.457000e+00	1540.0
2.222000e+00	1533.0
2.011000e+00	1526.0
1.819000e+00	1518.0
1.646000e+00	1510.0
1.489000e+00	1502.0
1.347000e+00	1494.0
1.219000e+00	1486.0
1.102000e+00	1477.0
9.972000e-01	1469.0
9.018000e-01	1460.0
8.161000e-01	1452.0
7.384000e-01	1443.0
6.676000e-01	1433.0
6.038000e-01	1423.0
5.463000e-01	1413.0
4.941000e-01	1402.0
4.470000e-01	1391.0
4.044000e-01	1380.0
3.656000e-01	1368.0
3.308000e-01	1357.0
2.991000e-01	1345.0
2.705000e-01	1333.0
2.447000e-01	1321.0
2.213000e-01	1309.0
2.001000e-01	1297.0
1.811000e-01	1285.0
1.638000e-01	1273.0
1.482000e-01	1261.0
1.340000e-01	1249.0
1.212000e-01	1237.0
1.096000e-01	1225.0
9.912000e-02	1214.0
8.963000e-02	1203.0
8.112000e-02	1193.0
7.338000e-02	1183.0
6.637000e-02	1173.0
6.001000e-02	1163.0
5.430000e-02	1155.0
4.908000e-02	1146.0
4.441000e-02	1139.0
4.019000e-02	1133.0
3.635000e-02	1127.0
3.288000e-02	1122.0
2.974000e-02	1117.0
2.692000e-02	1113.0
2.433000e-02	1108.0
1.752000e-02	1093.0
1.251000e-02	1076.0
8.952000e-03	1062.0
6.407000e-03	1052.0
4.584000e-03	1045.0
3.283000e-03	1041.0
2.351000e-03	1038.0
1.684000e-03	1034.0
1.207000e-03	1030.0
8.644000e-04	1026.0
6.189000e-04	1022.0
4.433000e-04	1018.0
3.176000e-04	1012.0
2.273000e-04	1003.0
1.626000e-04	992.3
1.163000e-04	981.2
8.334000e-05	968.7
5.961000e-05	954.7
4.263000e-05	939.6
3.049000e-05	924.5
2.183000e-05	910.5
1.562000e-05	897.2
1.119000e-05	885.8
8.025000e-06	876.7
5.761000e-06	869.7
4.146000e-06	864.9
2.991000e-06	861.9
2.166000e-06	860.5
1.575000e-06	860.6
1.148000e-06	862.1
8.405000e-07	864.9
6.172000e-07	868.8
4.549000e-07	874.4
3.363000e-07	882.3
2.493000e-07	893.4
1.851000e-07	909.4
1.379000e-07	932.6
1.028000e-07	966.6
7.686000e-08	1018.0
5.758000e-08	1097.0
4.334000e-08	1226.0
3.288000e-08	1454.0
2.533000e-08	1911.0
2.005000e-08	3101.0
1.163000e-08	6000.0
