#p (bar)	T (K)
1.000E-06	1.000E+02
2.154E-06	1.000E+02
4.642E-06	1.000E+02
1.000E-05	1.000E+02
2.154E-05	1.000E+02
4.642E-05	1.000E+02
1.000E-04	1.000E+02
2.154E-04	1.000E+02
4.642E-04	1.000E+02
1.000E-03	1.000E+02
2.154E-03	1.000E+02
4.642E-03	1.000E+02
1.000E-02	1.000E+02
2.154E-02	1.000E+02
4.642E-02	1.000E+02
1.000E-01	1.000E+02
2.154E-01	1.000E+02
4.642E-01	1.000E+02
1.000E+00	1.000E+02
2.154E+00	1.000E+02
4.642E+00	1.000E+02
1.000E+01	1.000E+02
2.154E+01	1.000E+02
4.642E+01	1.000E+02
1.000E+02	1.000E+02
2.154E+02	1.000E+02
4.642E+02	1.000E+02
1.000E+03	1.000E+02
1.000E-06	1.500E+02
2.154E-06	1.500E+02
4.642E-06	1.500E+02
1.000E-05	1.500E+02
2.154E-05	1.500E+02
4.642E-05	1.500E+02
1.000E-04	1.500E+02
2.154E-04	1.500E+02
4.642E-04	1.500E+02
1.000E-03	1.500E+02
2.154E-03	1.500E+02
4.642E-03	1.500E+02
1.000E-02	1.500E+02
2.154E-02	1.500E+02
4.642E-02	1.500E+02
1.000E-01	1.500E+02
2.154E-01	1.500E+02
4.642E-01	1.500E+02
1.000E+00	1.500E+02
2.154E+00	1.500E+02
4.642E+00	1.500E+02
1.000E+01	1.500E+02
2.154E+01	1.500E+02
4.642E+01	1.500E+02
1.000E+02	1.500E+02
2.154E+02	1.500E+02
4.642E+02	1.500E+02
1.000E+03	1.500E+02
1.000E-06	2.000E+02
2.154E-06	2.000E+02
4.642E-06	2.000E+02
1.000E-05	2.000E+02
2.154E-05	2.000E+02
4.642E-05	2.000E+02
1.000E-04	2.000E+02
2.154E-04	2.000E+02
4.642E-04	2.000E+02
1.000E-03	2.000E+02
2.154E-03	2.000E+02
4.642E-03	2.000E+02
1.000E-02	2.000E+02
2.154E-02	2.000E+02
4.642E-02	2.000E+02
1.000E-01	2.000E+02
2.154E-01	2.000E+02
4.642E-01	2.000E+02
1.000E+00	2.000E+02
2.154E+00	2.000E+02
4.642E+00	2.000E+02
1.000E+01	2.000E+02
2.154E+01	2.000E+02
4.642E+01	2.000E+02
1.000E+02	2.000E+02
2.154E+02	2.000E+02
4.642E+02	2.000E+02
1.000E+03	2.000E+02
1.000E-06	2.500E+02
2.154E-06	2.500E+02
4.642E-06	2.500E+02
1.000E-05	2.500E+02
2.154E-05	2.500E+02
4.642E-05	2.500E+02
1.000E-04	2.500E+02
2.154E-04	2.500E+02
4.642E-04	2.500E+02
1.000E-03	2.500E+02
2.154E-03	2.500E+02
4.642E-03	2.500E+02
1.000E-02	2.500E+02
2.154E-02	2.500E+02
4.642E-02	2.500E+02
1.000E-01	2.500E+02
2.154E-01	2.500E+02
4.642E-01	2.500E+02
1.000E+00	2.500E+02
2.154E+00	2.500E+02
4.642E+00	2.500E+02
1.000E+01	2.500E+02
2.154E+01	2.500E+02
4.642E+01	2.500E+02
1.000E+02	2.500E+02
2.154E+02	2.500E+02
4.642E+02	2.500E+02
1.000E+03	2.500E+02
1.000E-06	3.000E+02
2.154E-06	3.000E+02
4.642E-06	3.000E+02
1.000E-05	3.000E+02
2.154E-05	3.000E+02
4.642E-05	3.000E+02
1.000E-04	3.000E+02
2.154E-04	3.000E+02
4.642E-04	3.000E+02
1.000E-03	3.000E+02
2.154E-03	3.000E+02
4.642E-03	3.000E+02
1.000E-02	3.000E+02
2.154E-02	3.000E+02
4.642E-02	3.000E+02
1.000E-01	3.000E+02
2.154E-01	3.000E+02
4.642E-01	3.000E+02
1.000E+00	3.000E+02
2.154E+00	3.000E+02
4.642E+00	3.000E+02
1.000E+01	3.000E+02
2.154E+01	3.000E+02
4.642E+01	3.000E+02
1.000E+02	3.000E+02
2.154E+02	3.000E+02
4.642E+02	3.000E+02
1.000E+03	3.000E+02
1.000E-06	3.500E+02
2.154E-06	3.500E+02
4.642E-06	3.500E+02
1.000E-05	3.500E+02
2.154E-05	3.500E+02
4.642E-05	3.500E+02
1.000E-04	3.500E+02
2.154E-04	3.500E+02
4.642E-04	3.500E+02
1.000E-03	3.500E+02
2.154E-03	3.500E+02
4.642E-03	3.500E+02
1.000E-02	3.500E+02
2.154E-02	3.500E+02
4.642E-02	3.500E+02
1.000E-01	3.500E+02
2.154E-01	3.500E+02
4.642E-01	3.500E+02
1.000E+00	3.500E+02
2.154E+00	3.500E+02
4.642E+00	3.500E+02
1.000E+01	3.500E+02
2.154E+01	3.500E+02
4.642E+01	3.500E+02
1.000E+02	3.500E+02
2.154E+02	3.500E+02
4.642E+02	3.500E+02
1.000E+03	3.500E+02
1.000E-06	4.000E+02
2.154E-06	4.000E+02
4.642E-06	4.000E+02
1.000E-05	4.000E+02
2.154E-05	4.000E+02
4.642E-05	4.000E+02
1.000E-04	4.000E+02
2.154E-04	4.000E+02
4.642E-04	4.000E+02
1.000E-03	4.000E+02
2.154E-03	4.000E+02
4.642E-03	4.000E+02
1.000E-02	4.000E+02
2.154E-02	4.000E+02
4.642E-02	4.000E+02
1.000E-01	4.000E+02
2.154E-01	4.000E+02
4.642E-01	4.000E+02
1.000E+00	4.000E+02
2.154E+00	4.000E+02
4.642E+00	4.000E+02
1.000E+01	4.000E+02
2.154E+01	4.000E+02
4.642E+01	4.000E+02
1.000E+02	4.000E+02
2.154E+02	4.000E+02
4.642E+02	4.000E+02
1.000E+03	4.000E+02
1.000E-06	4.500E+02
2.154E-06	4.500E+02
4.642E-06	4.500E+02
1.000E-05	4.500E+02
2.154E-05	4.500E+02
4.642E-05	4.500E+02
1.000E-04	4.500E+02
2.154E-04	4.500E+02
4.642E-04	4.500E+02
1.000E-03	4.500E+02
2.154E-03	4.500E+02
4.642E-03	4.500E+02
1.000E-02	4.500E+02
2.154E-02	4.500E+02
4.642E-02	4.500E+02
1.000E-01	4.500E+02
2.154E-01	4.500E+02
4.642E-01	4.500E+02
1.000E+00	4.500E+02
2.154E+00	4.500E+02
4.642E+00	4.500E+02
1.000E+01	4.500E+02
2.154E+01	4.500E+02
4.642E+01	4.500E+02
1.000E+02	4.500E+02
2.154E+02	4.500E+02
4.642E+02	4.500E+02
1.000E+03	4.500E+02
1.000E-06	5.000E+02
2.154E-06	5.000E+02
4.642E-06	5.000E+02
1.000E-05	5.000E+02
2.154E-05	5.000E+02
4.642E-05	5.000E+02
1.000E-04	5.000E+02
2.154E-04	5.000E+02
4.642E-04	5.000E+02
1.000E-03	5.000E+02
2.154E-03	5.000E+02
4.642E-03	5.000E+02
1.000E-02	5.000E+02
2.154E-02	5.000E+02
4.642E-02	5.000E+02
1.000E-01	5.000E+02
2.154E-01	5.000E+02
4.642E-01	5.000E+02
1.000E+00	5.000E+02
2.154E+00	5.000E+02
4.642E+00	5.000E+02
1.000E+01	5.000E+02
2.154E+01	5.000E+02
4.642E+01	5.000E+02
1.000E+02	5.000E+02
2.154E+02	5.000E+02
4.642E+02	5.000E+02
1.000E+03	5.000E+02
1.000E-06	5.500E+02
2.154E-06	5.500E+02
4.642E-06	5.500E+02
1.000E-05	5.500E+02
2.154E-05	5.500E+02
4.642E-05	5.500E+02
1.000E-04	5.500E+02
2.154E-04	5.500E+02
4.642E-04	5.500E+02
1.000E-03	5.500E+02
2.154E-03	5.500E+02
4.642E-03	5.500E+02
1.000E-02	5.500E+02
2.154E-02	5.500E+02
4.642E-02	5.500E+02
1.000E-01	5.500E+02
2.154E-01	5.500E+02
4.642E-01	5.500E+02
1.000E+00	5.500E+02
2.154E+00	5.500E+02
4.642E+00	5.500E+02
1.000E+01	5.500E+02
2.154E+01	5.500E+02
4.642E+01	5.500E+02
1.000E+02	5.500E+02
2.154E+02	5.500E+02
4.642E+02	5.500E+02
1.000E+03	5.500E+02
1.000E-06	6.000E+02
2.154E-06	6.000E+02
4.642E-06	6.000E+02
1.000E-05	6.000E+02
2.154E-05	6.000E+02
4.642E-05	6.000E+02
1.000E-04	6.000E+02
2.154E-04	6.000E+02
4.642E-04	6.000E+02
1.000E-03	6.000E+02
2.154E-03	6.000E+02
4.642E-03	6.000E+02
1.000E-02	6.000E+02
2.154E-02	6.000E+02
4.642E-02	6.000E+02
1.000E-01	6.000E+02
2.154E-01	6.000E+02
4.642E-01	6.000E+02
1.000E+00	6.000E+02
2.154E+00	6.000E+02
4.642E+00	6.000E+02
1.000E+01	6.000E+02
2.154E+01	6.000E+02
4.642E+01	6.000E+02
1.000E+02	6.000E+02
2.154E+02	6.000E+02
4.642E+02	6.000E+02
1.000E+03	6.000E+02
1.000E-06	6.500E+02
2.154E-06	6.500E+02
4.642E-06	6.500E+02
1.000E-05	6.500E+02
2.154E-05	6.500E+02
4.642E-05	6.500E+02
1.000E-04	6.500E+02
2.154E-04	6.500E+02
4.642E-04	6.500E+02
1.000E-03	6.500E+02
2.154E-03	6.500E+02
4.642E-03	6.500E+02
1.000E-02	6.500E+02
2.154E-02	6.500E+02
4.642E-02	6.500E+02
1.000E-01	6.500E+02
2.154E-01	6.500E+02
4.642E-01	6.500E+02
1.000E+00	6.500E+02
2.154E+00	6.500E+02
4.642E+00	6.500E+02
1.000E+01	6.500E+02
2.154E+01	6.500E+02
4.642E+01	6.500E+02
1.000E+02	6.500E+02
2.154E+02	6.500E+02
4.642E+02	6.500E+02
1.000E+03	6.500E+02
1.000E-06	7.000E+02
2.154E-06	7.000E+02
4.642E-06	7.000E+02
1.000E-05	7.000E+02
2.154E-05	7.000E+02
4.642E-05	7.000E+02
1.000E-04	7.000E+02
2.154E-04	7.000E+02
4.642E-04	7.000E+02
1.000E-03	7.000E+02
2.154E-03	7.000E+02
4.642E-03	7.000E+02
1.000E-02	7.000E+02
2.154E-02	7.000E+02
4.642E-02	7.000E+02
1.000E-01	7.000E+02
2.154E-01	7.000E+02
4.642E-01	7.000E+02
1.000E+00	7.000E+02
2.154E+00	7.000E+02
4.642E+00	7.000E+02
1.000E+01	7.000E+02
2.154E+01	7.000E+02
4.642E+01	7.000E+02
1.000E+02	7.000E+02
2.154E+02	7.000E+02
4.642E+02	7.000E+02
1.000E+03	7.000E+02
1.000E-06	7.500E+02
2.154E-06	7.500E+02
4.642E-06	7.500E+02
1.000E-05	7.500E+02
2.154E-05	7.500E+02
4.642E-05	7.500E+02
1.000E-04	7.500E+02
2.154E-04	7.500E+02
4.642E-04	7.500E+02
1.000E-03	7.500E+02
2.154E-03	7.500E+02
4.642E-03	7.500E+02
1.000E-02	7.500E+02
2.154E-02	7.500E+02
4.642E-02	7.500E+02
1.000E-01	7.500E+02
2.154E-01	7.500E+02
4.642E-01	7.500E+02
1.000E+00	7.500E+02
2.154E+00	7.500E+02
4.642E+00	7.500E+02
1.000E+01	7.500E+02
2.154E+01	7.500E+02
4.642E+01	7.500E+02
1.000E+02	7.500E+02
2.154E+02	7.500E+02
4.642E+02	7.500E+02
1.000E+03	7.500E+02
1.000E-06	8.000E+02
2.154E-06	8.000E+02
4.642E-06	8.000E+02
1.000E-05	8.000E+02
2.154E-05	8.000E+02
4.642E-05	8.000E+02
1.000E-04	8.000E+02
2.154E-04	8.000E+02
4.642E-04	8.000E+02
1.000E-03	8.000E+02
2.154E-03	8.000E+02
4.642E-03	8.000E+02
1.000E-02	8.000E+02
2.154E-02	8.000E+02
4.642E-02	8.000E+02
1.000E-01	8.000E+02
2.154E-01	8.000E+02
4.642E-01	8.000E+02
1.000E+00	8.000E+02
2.154E+00	8.000E+02
4.642E+00	8.000E+02
1.000E+01	8.000E+02
2.154E+01	8.000E+02
4.642E+01	8.000E+02
1.000E+02	8.000E+02
2.154E+02	8.000E+02
4.642E+02	8.000E+02
1.000E+03	8.000E+02
1.000E-06	8.500E+02
2.154E-06	8.500E+02
4.642E-06	8.500E+02
1.000E-05	8.500E+02
2.154E-05	8.500E+02
4.642E-05	8.500E+02
1.000E-04	8.500E+02
2.154E-04	8.500E+02
4.642E-04	8.500E+02
1.000E-03	8.500E+02
2.154E-03	8.500E+02
4.642E-03	8.500E+02
1.000E-02	8.500E+02
2.154E-02	8.500E+02
4.642E-02	8.500E+02
1.000E-01	8.500E+02
2.154E-01	8.500E+02
4.642E-01	8.500E+02
1.000E+00	8.500E+02
2.154E+00	8.500E+02
4.642E+00	8.500E+02
1.000E+01	8.500E+02
2.154E+01	8.500E+02
4.642E+01	8.500E+02
1.000E+02	8.500E+02
2.154E+02	8.500E+02
4.642E+02	8.500E+02
1.000E+03	8.500E+02
1.000E-06	9.000E+02
2.154E-06	9.000E+02
4.642E-06	9.000E+02
1.000E-05	9.000E+02
2.154E-05	9.000E+02
4.642E-05	9.000E+02
1.000E-04	9.000E+02
2.154E-04	9.000E+02
4.642E-04	9.000E+02
1.000E-03	9.000E+02
2.154E-03	9.000E+02
4.642E-03	9.000E+02
1.000E-02	9.000E+02
2.154E-02	9.000E+02
4.642E-02	9.000E+02
1.000E-01	9.000E+02
2.154E-01	9.000E+02
4.642E-01	9.000E+02
1.000E+00	9.000E+02
2.154E+00	9.000E+02
4.642E+00	9.000E+02
1.000E+01	9.000E+02
2.154E+01	9.000E+02
4.642E+01	9.000E+02
1.000E+02	9.000E+02
2.154E+02	9.000E+02
4.642E+02	9.000E+02
1.000E+03	9.000E+02
1.000E-06	9.500E+02
2.154E-06	9.500E+02
4.642E-06	9.500E+02
1.000E-05	9.500E+02
2.154E-05	9.500E+02
4.642E-05	9.500E+02
1.000E-04	9.500E+02
2.154E-04	9.500E+02
4.642E-04	9.500E+02
1.000E-03	9.500E+02
2.154E-03	9.500E+02
4.642E-03	9.500E+02
1.000E-02	9.500E+02
2.154E-02	9.500E+02
4.642E-02	9.500E+02
1.000E-01	9.500E+02
2.154E-01	9.500E+02
4.642E-01	9.500E+02
1.000E+00	9.500E+02
2.154E+00	9.500E+02
4.642E+00	9.500E+02
1.000E+01	9.500E+02
2.154E+01	9.500E+02
4.642E+01	9.500E+02
1.000E+02	9.500E+02
2.154E+02	9.500E+02
4.642E+02	9.500E+02
1.000E+03	9.500E+02
1.000E-06	1.000E+03
2.154E-06	1.000E+03
4.642E-06	1.000E+03
1.000E-05	1.000E+03
2.154E-05	1.000E+03
4.642E-05	1.000E+03
1.000E-04	1.000E+03
2.154E-04	1.000E+03
4.642E-04	1.000E+03
1.000E-03	1.000E+03
2.154E-03	1.000E+03
4.642E-03	1.000E+03
1.000E-02	1.000E+03
2.154E-02	1.000E+03
4.642E-02	1.000E+03
1.000E-01	1.000E+03
2.154E-01	1.000E+03
4.642E-01	1.000E+03
1.000E+00	1.000E+03
2.154E+00	1.000E+03
4.642E+00	1.000E+03
1.000E+01	1.000E+03
2.154E+01	1.000E+03
4.642E+01	1.000E+03
1.000E+02	1.000E+03
2.154E+02	1.000E+03
4.642E+02	1.000E+03
1.000E+03	1.000E+03
1.000E-06	1.050E+03
2.154E-06	1.050E+03
4.642E-06	1.050E+03
1.000E-05	1.050E+03
2.154E-05	1.050E+03
4.642E-05	1.050E+03
1.000E-04	1.050E+03
2.154E-04	1.050E+03
4.642E-04	1.050E+03
1.000E-03	1.050E+03
2.154E-03	1.050E+03
4.642E-03	1.050E+03
1.000E-02	1.050E+03
2.154E-02	1.050E+03
4.642E-02	1.050E+03
1.000E-01	1.050E+03
2.154E-01	1.050E+03
4.642E-01	1.050E+03
1.000E+00	1.050E+03
2.154E+00	1.050E+03
4.642E+00	1.050E+03
1.000E+01	1.050E+03
2.154E+01	1.050E+03
4.642E+01	1.050E+03
1.000E+02	1.050E+03
2.154E+02	1.050E+03
4.642E+02	1.050E+03
1.000E+03	1.050E+03
1.000E-06	1.100E+03
2.154E-06	1.100E+03
4.642E-06	1.100E+03
1.000E-05	1.100E+03
2.154E-05	1.100E+03
4.642E-05	1.100E+03
1.000E-04	1.100E+03
2.154E-04	1.100E+03
4.642E-04	1.100E+03
1.000E-03	1.100E+03
2.154E-03	1.100E+03
4.642E-03	1.100E+03
1.000E-02	1.100E+03
2.154E-02	1.100E+03
4.642E-02	1.100E+03
1.000E-01	1.100E+03
2.154E-01	1.100E+03
4.642E-01	1.100E+03
1.000E+00	1.100E+03
2.154E+00	1.100E+03
4.642E+00	1.100E+03
1.000E+01	1.100E+03
2.154E+01	1.100E+03
4.642E+01	1.100E+03
1.000E+02	1.100E+03
2.154E+02	1.100E+03
4.642E+02	1.100E+03
1.000E+03	1.100E+03
1.000E-06	1.150E+03
2.154E-06	1.150E+03
4.642E-06	1.150E+03
1.000E-05	1.150E+03
2.154E-05	1.150E+03
4.642E-05	1.150E+03
1.000E-04	1.150E+03
2.154E-04	1.150E+03
4.642E-04	1.150E+03
1.000E-03	1.150E+03
2.154E-03	1.150E+03
4.642E-03	1.150E+03
1.000E-02	1.150E+03
2.154E-02	1.150E+03
4.642E-02	1.150E+03
1.000E-01	1.150E+03
2.154E-01	1.150E+03
4.642E-01	1.150E+03
1.000E+00	1.150E+03
2.154E+00	1.150E+03
4.642E+00	1.150E+03
1.000E+01	1.150E+03
2.154E+01	1.150E+03
4.642E+01	1.150E+03
1.000E+02	1.150E+03
2.154E+02	1.150E+03
4.642E+02	1.150E+03
1.000E+03	1.150E+03
1.000E-06	1.200E+03
2.154E-06	1.200E+03
4.642E-06	1.200E+03
1.000E-05	1.200E+03
2.154E-05	1.200E+03
4.642E-05	1.200E+03
1.000E-04	1.200E+03
2.154E-04	1.200E+03
4.642E-04	1.200E+03
1.000E-03	1.200E+03
2.154E-03	1.200E+03
4.642E-03	1.200E+03
1.000E-02	1.200E+03
2.154E-02	1.200E+03
4.642E-02	1.200E+03
1.000E-01	1.200E+03
2.154E-01	1.200E+03
4.642E-01	1.200E+03
1.000E+00	1.200E+03
2.154E+00	1.200E+03
4.642E+00	1.200E+03
1.000E+01	1.200E+03
2.154E+01	1.200E+03
4.642E+01	1.200E+03
1.000E+02	1.200E+03
2.154E+02	1.200E+03
4.642E+02	1.200E+03
1.000E+03	1.200E+03
1.000E-06	1.250E+03
2.154E-06	1.250E+03
4.642E-06	1.250E+03
1.000E-05	1.250E+03
2.154E-05	1.250E+03
4.642E-05	1.250E+03
1.000E-04	1.250E+03
2.154E-04	1.250E+03
4.642E-04	1.250E+03
1.000E-03	1.250E+03
2.154E-03	1.250E+03
4.642E-03	1.250E+03
1.000E-02	1.250E+03
2.154E-02	1.250E+03
4.642E-02	1.250E+03
1.000E-01	1.250E+03
2.154E-01	1.250E+03
4.642E-01	1.250E+03
1.000E+00	1.250E+03
2.154E+00	1.250E+03
4.642E+00	1.250E+03
1.000E+01	1.250E+03
2.154E+01	1.250E+03
4.642E+01	1.250E+03
1.000E+02	1.250E+03
2.154E+02	1.250E+03
4.642E+02	1.250E+03
1.000E+03	1.250E+03
1.000E-06	1.300E+03
2.154E-06	1.300E+03
4.642E-06	1.300E+03
1.000E-05	1.300E+03
2.154E-05	1.300E+03
4.642E-05	1.300E+03
1.000E-04	1.300E+03
2.154E-04	1.300E+03
4.642E-04	1.300E+03
1.000E-03	1.300E+03
2.154E-03	1.300E+03
4.642E-03	1.300E+03
1.000E-02	1.300E+03
2.154E-02	1.300E+03
4.642E-02	1.300E+03
1.000E-01	1.300E+03
2.154E-01	1.300E+03
4.642E-01	1.300E+03
1.000E+00	1.300E+03
2.154E+00	1.300E+03
4.642E+00	1.300E+03
1.000E+01	1.300E+03
2.154E+01	1.300E+03
4.642E+01	1.300E+03
1.000E+02	1.300E+03
2.154E+02	1.300E+03
4.642E+02	1.300E+03
1.000E+03	1.300E+03
1.000E-06	1.350E+03
2.154E-06	1.350E+03
4.642E-06	1.350E+03
1.000E-05	1.350E+03
2.154E-05	1.350E+03
4.642E-05	1.350E+03
1.000E-04	1.350E+03
2.154E-04	1.350E+03
4.642E-04	1.350E+03
1.000E-03	1.350E+03
2.154E-03	1.350E+03
4.642E-03	1.350E+03
1.000E-02	1.350E+03
2.154E-02	1.350E+03
4.642E-02	1.350E+03
1.000E-01	1.350E+03
2.154E-01	1.350E+03
4.642E-01	1.350E+03
1.000E+00	1.350E+03
2.154E+00	1.350E+03
4.642E+00	1.350E+03
1.000E+01	1.350E+03
2.154E+01	1.350E+03
4.642E+01	1.350E+03
1.000E+02	1.350E+03
2.154E+02	1.350E+03
4.642E+02	1.350E+03
1.000E+03	1.350E+03
1.000E-06	1.400E+03
2.154E-06	1.400E+03
4.642E-06	1.400E+03
1.000E-05	1.400E+03
2.154E-05	1.400E+03
4.642E-05	1.400E+03
1.000E-04	1.400E+03
2.154E-04	1.400E+03
4.642E-04	1.400E+03
1.000E-03	1.400E+03
2.154E-03	1.400E+03
4.642E-03	1.400E+03
1.000E-02	1.400E+03
2.154E-02	1.400E+03
4.642E-02	1.400E+03
1.000E-01	1.400E+03
2.154E-01	1.400E+03
4.642E-01	1.400E+03
1.000E+00	1.400E+03
2.154E+00	1.400E+03
4.642E+00	1.400E+03
1.000E+01	1.400E+03
2.154E+01	1.400E+03
4.642E+01	1.400E+03
1.000E+02	1.400E+03
2.154E+02	1.400E+03
4.642E+02	1.400E+03
1.000E+03	1.400E+03
1.000E-06	1.450E+03
2.154E-06	1.450E+03
4.642E-06	1.450E+03
1.000E-05	1.450E+03
2.154E-05	1.450E+03
4.642E-05	1.450E+03
1.000E-04	1.450E+03
2.154E-04	1.450E+03
4.642E-04	1.450E+03
1.000E-03	1.450E+03
2.154E-03	1.450E+03
4.642E-03	1.450E+03
1.000E-02	1.450E+03
2.154E-02	1.450E+03
4.642E-02	1.450E+03
1.000E-01	1.450E+03
2.154E-01	1.450E+03
4.642E-01	1.450E+03
1.000E+00	1.450E+03
2.154E+00	1.450E+03
4.642E+00	1.450E+03
1.000E+01	1.450E+03
2.154E+01	1.450E+03
4.642E+01	1.450E+03
1.000E+02	1.450E+03
2.154E+02	1.450E+03
4.642E+02	1.450E+03
1.000E+03	1.450E+03
1.000E-06	1.500E+03
2.154E-06	1.500E+03
4.642E-06	1.500E+03
1.000E-05	1.500E+03
2.154E-05	1.500E+03
4.642E-05	1.500E+03
1.000E-04	1.500E+03
2.154E-04	1.500E+03
4.642E-04	1.500E+03
1.000E-03	1.500E+03
2.154E-03	1.500E+03
4.642E-03	1.500E+03
1.000E-02	1.500E+03
2.154E-02	1.500E+03
4.642E-02	1.500E+03
1.000E-01	1.500E+03
2.154E-01	1.500E+03
4.642E-01	1.500E+03
1.000E+00	1.500E+03
2.154E+00	1.500E+03
4.642E+00	1.500E+03
1.000E+01	1.500E+03
2.154E+01	1.500E+03
4.642E+01	1.500E+03
1.000E+02	1.500E+03
2.154E+02	1.500E+03
4.642E+02	1.500E+03
1.000E+03	1.500E+03
1.000E-06	1.550E+03
2.154E-06	1.550E+03
4.642E-06	1.550E+03
1.000E-05	1.550E+03
2.154E-05	1.550E+03
4.642E-05	1.550E+03
1.000E-04	1.550E+03
2.154E-04	1.550E+03
4.642E-04	1.550E+03
1.000E-03	1.550E+03
2.154E-03	1.550E+03
4.642E-03	1.550E+03
1.000E-02	1.550E+03
2.154E-02	1.550E+03
4.642E-02	1.550E+03
1.000E-01	1.550E+03
2.154E-01	1.550E+03
4.642E-01	1.550E+03
1.000E+00	1.550E+03
2.154E+00	1.550E+03
4.642E+00	1.550E+03
1.000E+01	1.550E+03
2.154E+01	1.550E+03
4.642E+01	1.550E+03
1.000E+02	1.550E+03
2.154E+02	1.550E+03
4.642E+02	1.550E+03
1.000E+03	1.550E+03
1.000E-06	1.600E+03
2.154E-06	1.600E+03
4.642E-06	1.600E+03
1.000E-05	1.600E+03
2.154E-05	1.600E+03
4.642E-05	1.600E+03
1.000E-04	1.600E+03
2.154E-04	1.600E+03
4.642E-04	1.600E+03
1.000E-03	1.600E+03
